country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
United Kingdom,150,154,826,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/pc289k33c),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/sf268684c),united_kingdom_s5t11
United States Virgin Islands,19,29,850,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/pv63g214m),united_states_virgin_islands_s3t8
Uruguay,19,5,858,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/q524jq130),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/q237ht604),uruguay_s1t2
Usa Alaska,19,21,840,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/d504rm74m),[Nov 2001- July 2024](https://scholar.colorado.edu/concern/datasets/fx719p11c),usa_alaska_s5t11
Usa Hawaii,19,21,840,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r06p),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/sn00b078q),usa_hawaii_s3t8
Usa Lower48,19,21,840,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/8336h304x),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/0g354g88p),usa_lower48_s5t11
Uzbekistan,142,143,860,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/ff365704w),uzbekistan_s3t8
Vanuatu,9,54,548,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z316q351t),vanuatu_s3t8
Vatican,150,39,336,5,11,,,vatican_s5t11
Venezuela,19,5,862,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/7m01bm95m),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/c534fq76h),venezuela_s1t2
Victoria,9,53,36,,,[2001-2021](https://scholar.colorado.edu/concern/datasets/2r36tz74f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152),
Vietnam,142,35,704,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/h702q7566),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/rn301342p),vietnam_s1t2
Wallis and Futuna,9,61,876,3,8,,,wallis_and_futuna_s3t8
Western Australia,9,53,36,,,[2001-2021](https://scholar.colorado.edu/concern/datasets/k35695559),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152),
Western Sahara,2,15,732,5,11,,,western_sahara_s5t11
Yemen,142,145,887,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qb98mg91w),yemen_s5t11
Zambia,2,14,894,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/6108vc441),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qv33rz46c),zambia_s1t1
Zimbabwe,2,14,716,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/f7623d95c),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/np193b769),zimbabwe_s1t1
intended for use in conjunction with GOES16 active fire detections,,,,,,[Jan 2017-Mar 2020](https://scholar.colorado.edu/concern/datasets/d217qq78g),,
